"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40054","Home-NormalFlow-Fullvalue","Mobile Chrome","Wed Sep 17 15:15:52 UTC 2025","failed","Wed Sep 17 15:16:32 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","52748","health-normal-flow-with-tax-deduction","Mobile Chrome","Wed Sep 17 15:13:28 UTC 2025","failed","Wed Sep 17 15:14:21 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","65548","travel-normal-ต่างประเทศ-รายเที่ยว-เครื่องบิน 2 คน","Mobile Chrome","Wed Sep 17 15:18:57 UTC 2025","failed","Wed Sep 17 15:20:02 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","27430","Home-NormalFlow-FirstLost","Mobile Chrome","Wed Sep 17 15:15:24 UTC 2025","failed","Wed Sep 17 15:15:51 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","22979","accident-normal-flow-with-tax-deduction","Mobile Chrome","Wed Sep 17 15:12:11 UTC 2025","failed","Wed Sep 17 15:12:34 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","55587","pet-normal-flow","Mobile Chrome","Wed Sep 17 15:17:03 UTC 2025","failed","Wed Sep 17 15:17:59 UTC 2025","","main-web/pet/pet-normal-flow.spec.ts","",""
"","56003","travel-normal-ในประเทศ-รายเที่ยว-เครื่องบิน 1 คน","Mobile Chrome","Wed Sep 17 15:18:00 UTC 2025","failed","Wed Sep 17 15:18:56 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","61074","health-normal-flow-no-tax-deduction","Mobile Chrome","Wed Sep 17 15:14:22 UTC 2025","failed","Wed Sep 17 15:15:23 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","50962","accident-normal-flow-no-tax-deduction","Mobile Chrome","Wed Sep 17 15:12:37 UTC 2025","failed","Wed Sep 17 15:13:28 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","29894","Motor-NormalFlow","Mobile Chrome","Wed Sep 17 15:16:33 UTC 2025","failed","Wed Sep 17 15:17:03 UTC 2025","","main-web/motor/normal-flow.spec.ts","",""
