"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11852","Motor Online Flow1 - Droplead","Mobile Chrome","2026-05-04","failed","2026-05-04","Motor-Flow1","main-web/motor/motor-flow1.spec.ts","",""
"","67255","travel-normal-ต่างประเทศ-รายเที่ยว-ญี่ปุ่น-2คน","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/travel/travel-normal-flow.spec.ts","",""
"","57931","travel-normal-ในประเทศ-รายเที่ยว-เครื่องบิน 1 คน","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/travel/travel-normal-flow.spec.ts","",""
"","58309","travel-normal-ต่างประเทศ-รายเที่ยว-America-3คน","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/travel/travel-normal-flow.spec.ts","",""
"","51713","health-normal-flow-no-tax-deduction","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/health/health-normal-flow.spec.ts","",""
"","85260","travel-normal-ต่างประเทศ-รายเที่ยว-เครื่องบิน 2 คน","Mobile Chrome","2026-05-04","broken","2026-05-04","","main-web/travel/travel-normal-flow.spec.ts","",""
"","65937","Home-NormalFlow-FirstLost","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/home/home-normal-flow.spec.ts","",""
"","43985","accident-flow3-droplead","Mobile Chrome","2026-05-04","failed","2026-05-04","Accident-Flow3","main-web/accident/accident-flow3.spec.ts","",""
"","54111","Motor Online Flow3 Filtered Product","Mobile Chrome","2026-05-04","failed","2026-05-04","Motor-Flow3","main-web/motor/motor-flow3.spec.ts","",""
"","34901","Motor Online: ประกันชั้น1-ไม่ระบุผู้ขับขี่ ไม่ระบุประกันเดิม","Mobile Chrome","2026-05-04","failed","2026-05-04","Motor-NormalFlow","main-web/motor/motor-normal-flow.spec.ts","",""
"","20548","pet-normal-flow","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/pet/pet-normal-flow.spec.ts","",""
"","56890","accident-normal-flow-no-tax-deduction","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/accident/accident-normal-flow.spec.ts","",""
"","4073","campaign-home-flow","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/campaign/motor/motor-campaign-flow.spec.ts","",""
"","57794","travel-normal-ในประเทศ-รายเที่ยว-เครื่องบิน-1คน","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/travel/travel-normal-flow.spec.ts","",""
"","25273","health-normal-flow-with-tax-deduction","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/health/health-normal-flow.spec.ts","",""
"","44529","accident-flow2-droplead","Mobile Chrome","2026-05-04","failed","2026-05-04","Accident-Flow2","main-web/accident/accident-flow2.spec.ts","",""
"","44641","accident-flow4-droplead","Mobile Chrome","2026-05-04","failed","2026-05-04","Accident-Flow4","main-web/accident/accident-flow4.spec.ts","",""
"","48196","Motor Online Flow2 Fixed Product","Mobile Chrome","2026-05-04","failed","2026-05-04","Motor-Flow2","main-web/motor/motor-flow2.spec.ts","",""
"","46822","accident-flow1-droplead","Mobile Chrome","2026-05-04","failed","2026-05-04","Accident-Flow1","main-web/accident/accident-flow1.spec.ts","",""
"","57029","accident-normal-flow-with-tax-deduction","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/accident/accident-normal-flow.spec.ts","",""
"","74412","Home-NormalFlow-Fullvalue","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/home/home-normal-flow.spec.ts","",""
"","64968","travel-normal-ต่างประเทศ-รายปี-WorldWide-6คน","Mobile Chrome","2026-05-04","failed","2026-05-04","","main-web/travel/travel-normal-flow.spec.ts","",""
