"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23624","health-normal-flow-with-tax-deduction","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/health/health-normal-flow.spec.ts","",""
"","22757","pet-normal-flow","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/pet/pet-normal-flow.spec.ts","",""
"","23843","accident-normal-flow-with-tax-deduction","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/accident/accident-normal-flow.spec.ts","",""
"","22178","travel-normal-ต่างประเทศ-รายเที่ยว-เครื่องบิน 2 คน","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/travel/travel-normal-flow.spec.ts","",""
"","23703","accident-normal-flow-no-tax-deduction","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/accident/accident-normal-flow.spec.ts","",""
"","40830","Home-NormalFlow-Fullvalue","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/home/home-normal-flow.spec.ts","",""
"","23701","travel-normal-ในประเทศ-รายเที่ยว-เครื่องบิน 1 คน","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/travel/travel-normal-flow.spec.ts","",""
"","30238","campaign-home-flow","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/campaign/motor/motor-campaign-flow.spec.ts","",""
"","23300","Home-NormalFlow-FirstLost","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/home/home-normal-flow.spec.ts","",""
"","24051","health-normal-flow-no-tax-deduction","Mobile Chrome","2025-12-23","failed","2025-12-23","","main-web/health/health-normal-flow.spec.ts","",""
