"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59241","Home-NormalFlow-FirstLost","Mobile Chrome","Wed Sep 17 15:23:53 UTC 2025","failed","Wed Sep 17 15:24:52 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","56902","pet-normal-flow","Mobile Chrome","Wed Sep 17 15:26:12 UTC 2025","failed","Wed Sep 17 15:27:09 UTC 2025","","main-web/pet/pet-normal-flow.spec.ts","",""
"","63441","travel-normal-ในประเทศ-รายเที่ยว-เครื่องบิน 1 คน","Mobile Chrome","Wed Sep 17 15:27:10 UTC 2025","failed","Wed Sep 17 15:28:13 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","49934","Home-NormalFlow-Fullvalue","Mobile Chrome","Wed Sep 17 15:24:53 UTC 2025","failed","Wed Sep 17 15:25:43 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","64694","travel-normal-ต่างประเทศ-รายเที่ยว-เครื่องบิน 2 คน","Mobile Chrome","Wed Sep 17 15:28:14 UTC 2025","failed","Wed Sep 17 15:29:19 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","50897","accident-normal-flow-with-tax-deduction","Mobile Chrome","Wed Sep 17 15:20:01 UTC 2025","failed","Wed Sep 17 15:20:52 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","51920","health-normal-flow-with-tax-deduction","Mobile Chrome","Wed Sep 17 15:21:57 UTC 2025","failed","Wed Sep 17 15:22:49 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","61964","health-normal-flow-no-tax-deduction","Mobile Chrome","Wed Sep 17 15:22:50 UTC 2025","failed","Wed Sep 17 15:23:52 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","27801","Motor-NormalFlow","Mobile Chrome","Wed Sep 17 15:25:43 UTC 2025","failed","Wed Sep 17 15:26:11 UTC 2025","","main-web/motor/normal-flow.spec.ts","",""
"","62030","accident-normal-flow-no-tax-deduction","Mobile Chrome","Wed Sep 17 15:20:54 UTC 2025","failed","Wed Sep 17 15:21:56 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
