"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35754","campaign-home-flow","Mobile Chrome","Wed Oct 22 07:31:57 UTC 2025","failed","Wed Oct 22 07:32:33 UTC 2025","","main-web/campaign/motor/motor-campaign-flow.spec.ts","",""
"","28035","travel-normal-ในประเทศ-รายเที่ยว-เครื่องบิน 1 คน","Mobile Chrome","Wed Oct 22 07:36:42 UTC 2025","failed","Wed Oct 22 07:37:10 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","14162","accident-normal-flow-no-tax-deduction","Mobile Chrome","Wed Oct 22 07:31:42 UTC 2025","failed","Wed Oct 22 07:31:57 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","49626","health-normal-flow-no-tax-deduction","Mobile Chrome","Wed Oct 22 07:33:45 UTC 2025","passed","Wed Oct 22 07:34:35 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","16743","pet-normal-flow","Mobile Chrome","Wed Oct 22 07:36:25 UTC 2025","failed","Wed Oct 22 07:36:42 UTC 2025","","main-web/pet/pet-normal-flow.spec.ts","",""
"","16537","accident-normal-flow-with-tax-deduction","Mobile Chrome","Wed Oct 22 07:31:24 UTC 2025","failed","Wed Oct 22 07:31:41 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","70264","health-normal-flow-with-tax-deduction","Mobile Chrome","Wed Oct 22 07:32:34 UTC 2025","broken","Wed Oct 22 07:33:44 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","52271","Home-NormalFlow-FirstLost","Mobile Chrome","Wed Oct 22 07:34:35 UTC 2025","passed","Wed Oct 22 07:35:27 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","15451","travel-normal-ต่างประเทศ-รายเที่ยว-เครื่องบิน 2 คน","Mobile Chrome","Wed Oct 22 07:37:11 UTC 2025","failed","Wed Oct 22 07:37:27 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","33935","Motor-NormalFlow","Mobile Chrome","Wed Oct 22 07:35:50 UTC 2025","failed","Wed Oct 22 07:36:24 UTC 2025","","main-web/motor/motor-normal-flow.spec.ts","",""
"","22323","Home-NormalFlow-Fullvalue","Mobile Chrome","Wed Oct 22 07:35:27 UTC 2025","failed","Wed Oct 22 07:35:49 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
