"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37722","accident-normal-flow-no-tax-deduction","Desktop - chromium","Tue Aug 19 06:30:00 UTC 2025","failed","Tue Aug 19 06:30:37 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","23147","travel-normal-flow","Desktop - safari","Tue Aug 19 06:38:37 UTC 2025","failed","Tue Aug 19 06:39:00 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","32437","Home-NormalFlow-Fullvalue","Desktop - chromium","Tue Aug 19 06:33:00 UTC 2025","failed","Tue Aug 19 06:33:32 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","20234","Motor-NormalFlow","Desktop - safari","Tue Aug 19 06:38:16 UTC 2025","failed","Tue Aug 19 06:38:36 UTC 2025","","main-web/motor/normal-flow.spec.ts","",""
"","42206","accident-normal-flow-no-tax-deduction","Desktop - Google Chrome","Tue Aug 19 06:15:53 UTC 2025","failed","Tue Aug 19 06:16:35 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","35530","Home-NormalFlow-FirstLost","Desktop - firefox","Tue Aug 19 06:47:58 UTC 2025","failed","Tue Aug 19 06:48:34 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","27244","travel-normal-flow","Mobile Chrome","Tue Aug 19 06:24:24 UTC 2025","failed","Tue Aug 19 06:24:51 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","17985","accident-normal-flow-with-tax-deduction","Desktop - Google Chrome","Tue Aug 19 06:15:31 UTC 2025","failed","Tue Aug 19 06:15:49 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","30369","travel-normal-flow","Desktop - chromium","Tue Aug 19 06:33:47 UTC 2025","failed","Tue Aug 19 06:34:17 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","41932","accident-normal-flow-with-tax-deduction","Desktop - Microsoft Edge","Tue Aug 19 06:39:01 UTC 2025","failed","Tue Aug 19 06:39:43 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","53603","health-normal-flow-no-tax-deduction","Mobile Chrome","Tue Aug 19 06:22:10 UTC 2025","failed","Tue Aug 19 06:23:04 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","41399","health-normal-flow-no-tax-deduction","Desktop - Google Chrome","Tue Aug 19 06:17:22 UTC 2025","failed","Tue Aug 19 06:18:03 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","28410","travel-normal-flow","Mobile Safari","Tue Aug 19 06:28:44 UTC 2025","failed","Tue Aug 19 06:29:12 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","44472","health-normal-flow-with-tax-deduction","Desktop - Google Chrome","Tue Aug 19 06:16:36 UTC 2025","failed","Tue Aug 19 06:17:21 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","54818","accident-normal-flow-with-tax-deduction","Mobile Chrome","Tue Aug 19 06:19:36 UTC 2025","failed","Tue Aug 19 06:20:31 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","54845","health-normal-flow-with-tax-deduction","Desktop - firefox","Tue Aug 19 06:46:16 UTC 2025","failed","Tue Aug 19 06:47:11 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","44318","accident-normal-flow-no-tax-deduction","Desktop - safari","Tue Aug 19 06:35:13 UTC 2025","failed","Tue Aug 19 06:35:57 UTC 2025","","main-web/accident/accident-normal-flow.spec.ts","",""
"","32864","Home-NormalFlow-FirstLost","Desktop - chromium","Tue Aug 19 06:32:26 UTC 2025","failed","Tue Aug 19 06:32:59 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","20492","travel-normal-flow","Desktop - Google Chrome","Tue Aug 19 06:19:15 UTC 2025","failed","Tue Aug 19 06:19:35 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","31006","Home-NormalFlow-FirstLost","Desktop - safari","Tue Aug 19 06:37:02 UTC 2025","failed","Tue Aug 19 06:37:33 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","5911","Home-NormalFlow-Fullvalue","Mobile Safari","Tue Aug 19 06:28:23 UTC 2025","failed","Tue Aug 19 06:28:29 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","32016","Home-NormalFlow-FirstLost","Desktop - Microsoft Edge","Tue Aug 19 06:42:20 UTC 2025","failed","Tue Aug 19 06:42:52 UTC 2025","","main-web/home/home-normal-flow.spec.ts","",""
"","43898","health-normal-flow-no-tax-deduction","Desktop - firefox","Tue Aug 19 06:47:13 UTC 2025","failed","Tue Aug 19 06:47:57 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","54905","health-normal-flow-with-tax-deduction","Desktop - chromium","Tue Aug 19 06:30:38 UTC 2025","failed","Tue Aug 19 06:31:33 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","51851","health-normal-flow-no-tax-deduction","Desktop - chromium","Tue Aug 19 06:31:34 UTC 2025","failed","Tue Aug 19 06:32:26 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","29035","travel-normal-flow","Desktop - firefox","Tue Aug 19 06:49:27 UTC 2025","failed","Tue Aug 19 06:49:56 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","30823","health-normal-flow-no-tax-deduction","Desktop - safari","Tue Aug 19 06:36:30 UTC 2025","failed","Tue Aug 19 06:37:01 UTC 2025","","main-web/health/health-normal-flow.spec.ts","",""
"","12964","Motor-NormalFlow","Desktop - chromium","Tue Aug 19 06:33:33 UTC 2025","failed","Tue Aug 19 06:33:46 UTC 2025","","main-web/motor/normal-flow.spec.ts","",""
